id,Number,Value,Part_of_Speech,Gloss,Notes,Changed
1829,1829,rih,n,age,"Avar (p.225 in the dict.): rih (-ał, -ałul) time, date, period (срок, пора; время, отрезок времени; период);  rih araj ʕadan - older
 woman. Arsen glossed rih as 'age' 
",2014-06-25
1830,1830,"riħo",n4,avalanche," 
",2007-07-31
1831,1831,"Riħox",n,Rixox,"a place in Mokok",2008-08-26
1832,1832,rikini,n4,cradle," 
",2010-01-27
1833,1833,"rik’zi",n4,honor," 
",2006-12-13
1834,1834,"rił",n4,butter," 
",2008-04-22
1835,1835,"riłu",n4,equality,"Not in the Dictionary!",2010-07-30
1836,1836,"riƛu",n4,field," 
",2007-02-27
1837,1837,riri,n3,alder," 
",2013-11-13
1838,1838,"rit’uqłi",n4,"justice; truth","Not in the Dictionary! Avar loanword.",2013-08-04
1839,1839,riynoxu,n1,sheikh,"Dict. translates it as medicine man, healer or ""knowledgable man""...",2014-06-25
1840,1840,"roč",n4,rope," 
",2010-05-31
1841,1841,"roč’i",n4,frost," 
",2009-08-31
1842,1842,"rok’u",n4,heart,"""X-GEN1 Y-AD.ESS rok'u rexu-"" (X's heart died at Y) = X had deep sympathy for Y / X felt sorry for Y
",2014-06-25
1843,1843,"rok’u-ɣʷey",n4,"fun; banquet"," 
",2012-08-13
1844,1844,"rˤołu",v,drill," 
",2007-06-17
1845,1845,"roƛik’u",n3,half," 
",2014-05-19
1846,1846,"roƛiqur",adv,at.midnight," 
",2007-05-25
1847,1847,"roƛni",n4,disease," 
",2009-08-07
1848,1848,"roƛ’i",n3,love,"""X fell (deeply) in love with Y"" = ""X-GEN1 Y-POSS.LAT (shuliyaw='strong') rotlh'i boqno.""
",2014-06-25
1849,1849,"roqˤu",n4,step,"Dict.: ""r`oqu""",2013-08-21
1850,1850,"roq’ˤ",n4,burden,"Dict.: ""roq'"" (and Mokok: ""r`oq'"")",2013-08-04
1851,1851,rori,n3,foot," 
",2010-07-05
1852,1852,"roržizi",comp,fly,"Not in the dictionary! (Arsen: letat'); used with ""-oq-""",2014-06-25
1853,1853,ros,n3,base,"Dict. doesn't have OBL in ""rosyo-"" (but check all cases in the texts!); German: 'Fundament'
",2014-06-25
1854,1854,"roži",n4,word," 
",2008-04-07
1855,1855,-ru,vsuf,PST.PRT,"""which was ...ed/...ing""  lengthening of the stem vowel",2014-06-25
1856,1856,"ruɣu",n4,prints,"(footprints or maybe also remains)",2013-08-04
1857,1857,ruhun,comp,"learn; teach","""ruhun -oq-"" = 'to learn'; ""ruhun -odi-"" = 'to teach'",2014-06-25
1858,1858,"ruħ",n3,"power; soul; person"," 
",2008-08-26
1859,1859,"ruħč’agoyaw",adj,living,"Not in the Dictionary! (Dict: ""ruhhch'agolhi"" = 'living world'; Arsen: ""zhivoj"")
",2014-06-25
1860,1860,"ruħ-ħal",n4,strenght,"Not in the Dictionary! / see ""hhal-ruhh""",2014-05-16
1861,1861,"ruk’",n4,roar,"ruk'yo is the ERG already!",2013-10-05
1862,1862,"ruk’i",n4,cubit,"Dict.: ""rutlh'"" / dt.: Elle (Längenmaß)",2014-05-16
1863,1863,"ruk’u",n4,bundle," 
",2010-05-31
1864,1864,"-rułi",vsuf,MSD," 
",2012-08-13
1865,1865,-run,vsuf,IMM.ANT.CVB,"immediate anterior (""right after"") / Stem vowel lengthening!",2014-06-25
1866,1866,"Ruq’i",n2,Ruqiyat,"personal name",2009-08-24
1867,1867,"rut’uga",n4,carpet," 
",2010-01-26
1868,1868,ruzman,adj,Friday,"Not in the Dictionary! (Dict. has ""muzhmar-ghudi"" for Friday); might be used like an Adj., because ""ghudi"" follows afterwards... and like a
 noun if a case follows.
",2014-06-25
1869,1869,-s,nsuf,GEN1," 
",2009-12-01
1870,1870,-s,vsuf,PST.WIT," 
",2009-06-28
1871,1871,sabani,n4,blanket," 
",2009-08-31
1872,1872,sabaw,n2,amulet," 
",2009-09-28
1873,1873,"sabawłun",post,for.the.sake.of,"Dict.: ""sabablhun""; used with ABS form of nouns",2014-06-25
1874,1874,sabru,n3,patience,"Dict.: ""sabur""; 'sabur bodin icha' = be patient, show endurance",2014-06-25
1875,1875,sadaq,post,with,"Also used in ""my friends and I"" ('eli halmaghbin sadaq', lit.: we +friends together); ""together with X"" = 'X-APUD.ESS sadaq';
 ""without X"" = 'X sadaq anusi'; I splitted up this entry only at
 Arabuzan.087
",2014-06-25
1876,1876,"sadaq’a",n4,alms," 
",2008-11-09
1877,1877,"sadaq’a-q’ulhu",n4,funeral.ceremony," 
",2012-08-06
1878,1878,"saɣ",comp,cure," 
",2009-05-26
1879,1879,"saɣaw",adj,healthy," 
",2007-03-10
1880,1880,"saɣłi","n3; n4",health,"Dict. says it's n4, but I had the word as n3 here... please check!",2014-06-25
1881,1881,"saɣyat",n3,present,"Not in the dictionary!",2010-02-26
1882,1882,"saħ",n4,sah,"measurement: 2.5 kg",2007-04-10
1883,1883,salam,n3,greeting,"can be given and taken (responded upon)",2014-05-20
1884,1884,salam,interj,...peace,"Not in the Dictionary! (part of the muslim answer greeting)",2014-06-25
1885,1885,salawat,n4,rosary," 
",2007-06-08
1886,1886,saldat,n1,soldier," 
",2008-10-10
1887,1887,"Saliħat",n2,Salihat,"female name",2009-08-21
1888,1888,"sanaʕałi",n3,chance,"Dict.: class IV (but see Bear_ear.026)",2013-08-04
1889,1889,"sanaʕataw",adj,comfortable," 
",2010-01-25
1890,1890,sapar,n3,journey," 
",2009-02-18
1891,1891,sas,n3,noise," 
",2009-06-28
1892,1892,sasaq,adv,"in.the.morning; tomorrow"," 
",2012-08-06
1893,1893,sasaqosi,adv,in.the.morning,"Or is it an adjective? (see Mountain-Hero.026)",2014-05-20
1894,1894,sasaqozox,adv,early.morning," 
",2006-09-27
1895,1895,"sasił",v,get.dark," 
",2009-01-09
1896,1896,sasiw,adj,gloomy,"Dict.: ""sasyu""",2007-06-17
1897,1897,saso,n,darkness,"Dict.: ""sasox"" (in the darkness); Arsen: temen'",2014-05-20
1898,1898,sasyu,adj,dark," 
",2014-05-16
1899,1899,"sayɣat","n3; comp",present,"(Geschenk/podarok); 'give a present to X' = ""X-LAT sayghat bodi-""; agreement then is with the presented object, not with the
 present (III), so I might as well analyse it as ""comp""!
",2014-06-25
1900,1900,"saʕat",n3,"hour; clock"," 
",2008-04-24
1901,1901,sebi,n3,autumn," 
",2014-01-13
1902,1902,seru,v,unlock," 
",2009-04-06
1903,1903,"seru-ħiši",v,unlock.and.lock," 
",2013-12-26
1904,1904,-si,suf,ATTR,"""Linker"", should actually be called attributive (ATTR)",2014-06-25
1905,1905,sida,num,one.OBL," 
",2012-08-13
1906,1906,"sidaɣ",adv,in.one.place," 
",2007-03-05
1907,1907,"sidaquł",adv,one.day," 
",2006-09-15
1908,1908,"sida-q’ˤuna",num,one.or.two.OBL,"Not in the Dictionary!",2009-09-29
1909,1909,sideni,adj,other," 
",2010-07-09
1910,1910,sideni,n,the.other.one,"See also ""sideni"" (Adj); can be any noun class, hence just ""n"".",2014-06-25
1911,1911,"siħir","n1; n2",sly.person," 
",2010-04-30
1912,1912,"siħiraw",adj,cunning," 
",2007-05-23
1913,1913,"siħiray",adj,cunning.II,"Not in the Dictionary! It has ""sihhiraw""; how unusual to have a class II loan adjective from Avar! :O
",2014-06-25
1914,1914,"siħru",n4,slyness," 
",2010-01-10
1915,1915,sik,n4,waterskin,"Dict. doesn't have the OBL form.",2013-08-04
1916,1916,simildi,n2,maize," 
",2009-10-04
1917,1917,sipat,n,appearance,"Not in the Dictionary! (Arsen: ""lico"" [face]; translation: ""oblik"" [look])",2014-06-25
1918,1918,sipat-surat,n,shape,"Not in the Dictionary!",2009-05-21
1919,1919,"siršaɣˤu",n4,horses,"Dict.: ""shirshaghu"" ('horse (general concept)')",2014-05-20
1920,1920,siryo,n3,mare," 
",2008-03-18
1921,1921,sis,num,one," 
",2008-12-10
1922,1922,sisi,adj,other," 
",2009-02-18
1923,1923,si-sida,adj,each.OBL,"Not in the Dictionary! (Arsen: odin-odin); wasn't written with the hyphen in the original text.
",2014-06-25
1924,1924,siskin,pron,"anything; anyone; any","anyone = class I.pl; anything = class IV(?)",2014-05-20
1925,1925,sis-sis,num,some,"used with singular",2010-02-25
1926,1926,"sist’a",adv,"one.at.a.time; one.each","German ""alleine, einzeln, 'zu einst'""",2013-08-04
1927,1927,sisxoli,adv,alone," 
",2008-05-06
1928,1928,sisxolisi,adj,lonely," 
",2008-05-06
1929,1929,sod,adv,above,"Not in the Dictionary! (at least not really, see ""soder"")",2014-06-25
1930,1930,soder,"post; adv","after; upward","+ SUPER.ABL (""nelhtlh'ay soder"" = after that) or CONT.ABL or IN.ABL or POSS.ESS or (v)SIM.CVB; ""adäytow soder"" =
 for.so.long; also CONT.VERS once in Arabuzan.077.
",2014-06-25
1931,1931,"sop’on",n2,soap," 
",2013-09-18
1932,1932,sosi,adv,"at.first; once; again"," 
",2008-08-26
1933,1933,"sosit’a",adv,"sometimes; once"," 
",2008-08-16
1934,1934,sossi,adv,"once; first"," 
",2008-06-02
1935,1935,sual,n4,question," 
",2006-11-17
1936,1936,"suħmat",n4,celebration,"Not in the Dictionary! Arsen: ""vesel'e""",2013-08-04
1937,1937,"suħmat-q’ili",n4,singing.and.dancing," 
",2009-12-20
1938,1938,"suƛƛi",adv,"suddenly; immediately; at.once"," 
",2012-08-06
1939,1939,surat,n3,"painting; picture"," 
",2010-08-06
1940,1940,"ša",n3,wine," 
",2006-11-15
1941,1941,"šahadat",n3,witnessing,"Not in the Dictionary!",2007-06-08
1942,1942,"šahar",n3,city," 
",2008-08-22
1943,1943,"Šahʕabasxan",n,Shaxabasxan,"not on the dictionary",2014-06-17
1944,1944,"šak",n3,suspicion," 
",2006-11-27
1945,1945,"Šapk’ilaw",n1,Shapkilaw,"personal name",2009-08-25
1946,1946,"šarʕi",n3,Sharia;Sharia.court," 
",2009-03-11
1947,1947,"-šaw",suf,ATTR,"...or does it mean ""with...""? Yes!",2013-10-18
1948,1948,"šayt’an",n3,devil," 
",2009-08-24
1949,1949,"šayx",n1,sheikh," 
",2010-01-19
1950,1950,"šebi",pron,"what; who"," 
",2014-01-16
1951,1951,"šebi-didur",pron,what.and.how,"Not in the Dictionary!",2010-07-09
1952,1952,"šebin",n4,thing," 
",2010-02-20
1953,1953,"šebinon",pron,someone," 
",2006-10-24
1954,1954,"šeƛ’u",n4,clothing,"Dictionary doesn't list oblique form!",2013-08-04
1955,1955,"šeƛ’u",v,put.on,"Dict.: ""shetlh'ura""(?)  this would be ""dress someone up"" and also occurs (Widow.076)
",2014-06-25
1956,1956,"šeƛ’u-bˤoƛ’o",n4,clothes,"Dict.: ""shetlh'u-botlh'`u""; Dict. doesn't have OBL form in ""-re-""",2014-06-25
1957,1957,"šem",n3,"dump; pile","Dict. doesn't have OBL in ""shemre-"" (also Pl.: shemrebi); dump = i.S.v. Müllhalde
",2014-06-25
1958,1958,"šešer",v,shake," 
",2007-07-09
1959,1959,"šešo",n,dance,"Not in the Dictionary! Not sure of its meaning, the glossed Russian text had ""lhoch"" (tanec) at that position, but the translation says
 ""tanec"" as well; could be a stage though.
",2014-06-25
1960,1960,"šet’u","adv; post",around,"""shet'u -uti-"" = to turn oneself; + POSS.ESS",2014-05-20
1961,1961,"šet’ur","adv; post",around,"with POSS.ESS",2009-08-25
1962,1962,"šet’u-šet’u",adv,around.and.around,"Not in the Dictionary!",2009-09-12
1963,1963,"šew",pron,what,"Same as ""shebi"", just some other dialect...",2014-05-20
1964,1964,"šibaw",pron,every," 
",2009-07-29
1965,1965,"šid",n4,wall,"maybe a ""street wall"" ('ulichnoj steny')",2013-08-04
1966,1966,"šida",pron,why," 
",2006-09-21
1967,1967,"šilu",n2,horn," 
",2008-10-22
1968,1968,"šinaw",adj,every,"Or is it a pronoun? (it's used attributively)",2014-05-20
1969,1969,"šiqˤono",adj,lame,"Dict.: ""ligh`ono""",2006-11-10
1970,1970,"šiqˤonyad",v,limp,"Not in the Dictionary!",2008-08-26
1971,1971,"šiši",v,get.stuck," 
",2009-11-03
1972,1972,"šišir",v,stick,transitive,2007-06-08
1973,1973,"šit’u",n3,plate," 
",2006-09-25
1974,1974,"šomo",pron,how.many,"Dict. doesn't list OBL form in ""shomor-"", but has other entries showing this...
",2014-06-25
1975,1975,"šomorax",adv,how.often,"Also means just ""often"" (maybe with ""-no""; see Stepdaughter.004)",2014-06-25
1976,1976,"šow",pron,"what; who","dialect form (maybe Genitlh or how's it called)?",2014-05-20
1977,1977,"šud",n4,grave," 
",2008-05-20
1978,1978,"šuda",n4,graveyard,"Seems to refer to a single grave, not to a whole graveyard.",2014-06-25
1979,1979,"šukru",n3,patience,"Not in the Dictionary! (Arsen: ""terpenie"")",2014-05-20
1980,1980,"šula",comp,get.strong," 
",2010-03-03
1981,1981,"šuliyaw",adj,strong,"Dict: ""shulayab""",2010-04-09
1982,1982,"šuƛ’i",v,forget,"transitive, although CAUS ""shutlh'ira"" means the same",2014-06-25
1983,1983,"šuƛ’ir",v,forget,"transitive, although without CAUS ""shutlh'i-"" means the same",2014-06-25
1984,1984,"šuri-šeri",n4,rustle,"Not in the dictionary!",2008-08-06
1985,1985,"šuši",v,bury," 
",2014-01-12
1986,1986,"šuši-t’uħi",v,bury," 
",2014-01-12
1987,1987,"šušuli",v,demolish," 
",2010-04-23
1988,1988,tabanaw,adj,"long; enough"," 
",2008-09-11
1989,1989,Tabuldi,n1,Tabuldi," 
",2009-04-17
1990,1990,"taliħ",n3,"fortune; happiness"," 
",2007-02-26
1991,1991,"taliħaw",adj,happy," 
",2010-06-21
1992,1992,tamada,n,toastmaster,"Not in the Dictionary.",2009-06-28
1993,1993,"tamanča",n4,pistol,"Dict.: ""tapancha""",2009-08-25
1994,1994,"tamaša",comp,be.surprised,"Dict.: glossed as 'astonishment' (n3), but nowhere occurs without -oq- or -odi-. On the other hand, it causes class III agreement, see
 Razhbadin.061!
",2014-06-25
1995,1995,"tamašałi",n4,"astonishment; wonder"," 
",2009-07-28
1996,1996,"tambiħ",n3,punishment,"Dict.: ""tamihh""",2014-01-12
1997,1997,"tamiħ",n3,punishment," 
",2010-05-31
1998,1998,"taqˤo","adv; post","over.there; far.away","+ CONT.ESS, SUPER.ESS",2013-11-13
1999,1999,"taqˤo-naqˤo",adv,hither.and.thither,"Not in the Dictionary!",2012-08-28
2000,2000,taraw,post,except.for,"+ SUB.LAT (?)",2010-03-27
2001,2001,tarbiya,n3,upbringing," 
",2009-02-17
2002,2002,tatana,n,warmth,"Not in the Dictionary!",2009-06-30
2003,2003,"tatanił",v,warmthen.oneself," 
",2006-10-12
2004,2004,tatanu,adj,hot," 
",2013-09-18
2005,2005,tatu,n3,"cheerfulness; power","Not in the dictionary!",2008-08-26
2006,2006,-taw,nsuf,without," 
",2009-05-26
2007,2007,Tawadi,n1,Tavadi," 
",2010-02-14
2008,2008,tawakal,n3,patience," 
",2014-01-17
2009,2009,tax,n4,bed," 
",2012-08-06
2010,2010,Telawi,n,Telavi,"name of a Georgian city",2010-02-19
2011,2011,"teł","post; adv",inside,"with IN.ESS or CONT.ESS (""among, with"") or CONT.ABL or even SUB.ESS (~ inside what is under sth.)
",2014-06-25
2012,2012,"tełer","adv; post","into; to.the.inside","with IN.ESS; probably composed of ""telh"" + LAT ending",2014-06-25
2013,2013,"teƛ",v,"give; sell","goal is someone else than the speaker; recipient gets POSS.LAT",2014-06-25
2014,2014,"teƛ-ok’",v,"deal; sell"," 
",2012-08-28
2015,2015,teq,v,hear," 
",2007-12-06
2016,2016,teqer,v,listen.to," 
",2009-08-25
2017,2017,teqerno,adv,aloud," 
",2006-11-15
2018,2018,tetu,n3,???,"Not in the Dictionary!",2007-06-11
2019,2019,Tiblis,n,Tbilisi,"capital of Georgia (Not in the Dictionary, of course!)",2014-06-25
2020,2020,-tow,suf,EMPH,"Dict.: ""-tew""; = -self (right, ""ditow"" means 'myself')",2014-06-25
2021,2021,tox,comp,be.careless,"Also add meaning ""oslabet'"" to the dictionary (~become weak).",2014-06-25
2022,2022,toxaw,adj,weak," 
",2010-01-24
2023,2023,tukam,n,shop,"Not in the Dictionary!",2009-06-13
2024,2024,tungi,n3,copper.jug,"Dict.: n4; doesn't need to be made of copper (see Brothers_and_sister_042)!
",2014-06-25
2025,2025,tupi,n4,rifle,"""tumma-"" = plural stem",2009-12-03
2026,2026,"tusnaq’",n4,prison," 
",2007-03-19
2027,2027,"tušman",n1,enemy," 
",2007-07-09
2028,2028,tuti,v,be.stained," 
",2009-11-03
2029,2029,"tuturłi",n4,dirt," 
",2010-05-24
2030,2030,tuxala,n,habit,"Not in the Dictionary! (Arsen: ""povadka"")",2014-05-20
2031,2031,"-t’a",suf,DISTR,"distributive, ""each""; apparently not only quantitatively (multiple...), but also temporally-iteratively (multiple times...); also works with
 verbs
",2014-06-25
2032,2032,"t’abiʕat",n,nature,"Not in the Dictionary!",2009-04-18
2033,2033,"t’aħi","adv; v","combined; tie","Not in the Dictionary!",2010-08-04
2034,2034,"t’akan",n2,glass,"Dict.: ""t'akani"" (and no oblique form)",2013-08-04
2035,2035,"t’ala",n3,floor,"i.S.v. ""Etage""",2009-01-25
2036,2036,"t’alam",n3,care," 
",2006-11-11
2037,2037,"t’amač",n,leaflet,"Not in the Dictionary! (Arsen: ""listok""; translation: ""list""); ...of paper (for a letter maybe)
",2014-06-25
2038,2038,"t’amizi",comp,force," 
",2009-02-17
2039,2039,"t’ank’i",n2,stain," 
",2013-09-20
2040,2040,"t’aqˤ",n4,knife,"Dict.: ""t'`aq""",2010-01-27
2041,2041,"t’ar",adv,thither,"Not in the Dictionary! (but derrived from ""t'o + -ar"" and seems to be the same as ""t'or"")
",2014-06-25
2042,2042,"t’as",n3,washbowl," 
",2008-10-10
2043,2043,"t’awus",n3,peacock," 
",2014-04-24
2044,2044,"t’ay",adv,from.here," 
",2010-06-12
2045,2045,"t’aza",adv,from.here,"Should better be glossed as ""t'o-aza"" (or so), but would be 'here-AD.VERS.DIST' then...
",2014-06-25
2046,2046,"t’aʕam",n3,taste,"glossed by Arsen as ""pishcha"" (food)...",2014-05-14
2047,2047,"t’aʕizi",comp,dissappear,"+ ""bodi"" = 'remove'",2009-08-31
2048,2048,"t’eka",n3,he-goat," 
",2007-12-13
2049,2049,"t’eq’erbaši",n,cautiousness,"Not in the Dictionary! (Arsen: ""ostorozhno"" [an adverb?]; but it's connected with SUPER.LAT)
",2014-06-25
2050,2050,"t’eq’ur",n3,biennial.goat," 
",2008-10-22
2051,2051,"t’et’",v,milk," 
",2009-08-24
2052,2052,"t’et’r",v,"learn; read; count","read out to = ""X-CONT.ESS adäz t'et'ra""",2014-05-20
2053,2053,"t’ik’i",n,waterskin,"Not in the Dictionary! (Arsen/translation: ""burdjuk"")",2014-06-25
2054,2054,"t’ira",n,caprice,"Not in the Dictionary! Dt.: 'Laune, Lust' (""t'ira xeci-"" = Lust haben)",2014-06-25
2055,2055,"t’it’",v,destroy," 
",2009-11-12
2056,2056,"t’it’aħi",v,clutch,"Not in the Dictionary! (Arsen: ""cepljat'sja"", translation: ""zacepilsja""); ...at = +POSS.ESS
",2014-06-25
2057,2057,"t’it’i",v,fell,"add to Dictionary: Arsen: ""rubit'"" (also, the derived forms are missing!)
",2014-06-25
2058,2058,"t’it’i-eč’",v,cut.into.pieces," 
",2012-08-27
2059,2059,"t’it’ora",n4,shrubbery,"Dict.: ""t'it'ori""",2010-07-30
2060,2060,"t’it’u",n4,piece,"Dict. doesn't have OBL in ""t'it'ur-""",2013-08-04
2061,2061,"t’o",adv,"here; there"," 
",2010-07-30
2062,2062,"t’oɣoy",adv,here.ATTR,"Not in the Dictionary! Arsen glosses ""t'o-ghoy-ä"" as 'tut-ATTR-IN.ESS'
",2014-06-25
2063,2063,"t’ok’ow","adv; adj","anymore; more"," 
",2009-08-27
2064,2064,"t’om",n3,span,"measure (ca. 'ne Handbreit)",2013-08-04
2065,2065,"t’ubaraw",adj,"full; complete","Not in the Dictionary! ('polnyj')",2013-08-04
2066,2066,"t’ubazi",comp,fulfill,"Also seems to refer to fulfillment of ""funeral procedures""",2014-06-25
2067,2067,"t’umi",n3,pigeon,"Dict.: only knows the plural ""t'umibi""!",2013-08-04
2068,2068,"t’ut’",n3,fly," 
",2006-11-27
2069,2069,-u,vsuf,IMPR," 
",2006-12-13
2070,2070,uba,n3,kiss," 
",2007-03-13
2071,2071,uhi-ehi,n4,groaning," 
",2009-12-19
2072,2072,"uhi-ehƛad",v,moan," 
",2012-08-15
2073,2073,"uhi-muši",n4,groaning," 
",2010-02-12
2074,2074,ukad,v,see,"Not in the Dictionary! (?!); transitive",2013-10-24
2075,2075,ukar,v,"show; appoint","Not in the Dictionary! (?!); to someone = +POSS.ESS; causative of ""bukada"" (also not in the dictionary)
",2014-06-25
2076,2076,ukru,n3,silver," 
",2006-09-17
2077,2077,ukru-mesed,n3,precious.jewelry," 
",2012-08-09
2078,2078,ukru-micxir,n3,"jewel; gold.and.silver","Dict.: class II!",2012-08-09
2079,2079,ulka,n3,country," 
",2009-04-06
2080,2080,"ułir",v,share,"share X among Y = Y-SUPER.ESS",2013-08-04
2081,2081,"ˤuƛ’",v,be.afraid,"be afraid of = N-POSS.ESS",2013-09-01
2082,2082,"ˤuƛ’er",v,scare," 
",2009-04-25
2083,2083,Umukus,n2,Umukus," 
",2008-05-05
2084,2084,ungo,adv,really,"Dict. doesn't include ""dejstvitel'no"" as a translation.",2014-06-25
2085,2085,untaraw,adj,sick," 
",2009-06-02
2086,2086,unti,n3,illness," 
",2010-04-23
2087,2087,untizi,comp,be.sick," 
",2009-05-26
2088,2088,"uqˤek’",v,shut,"Dict.: ""buqik'a""",2008-08-25
2089,2089,"uqˤeł",v,hide,"Dict.: ""b`uq`elha"" (with ""b`uq`elh"" as IMP; with ""-o"" in the text); intransitive
",2014-06-25
2090,2090,uqi,v,close," 
",2013-12-02
2091,2091,"uqˤi",v,hide,"Dict.: ""-uqi-""; transitive (i.e., ""hide someone else"")! Maybe it's mostly -uq`- in all cases.
",2014-06-25
2092,2092,"uqˤik’",v,hide,"Dict.: ""buqik'a"" (transitive)",2013-08-04
2093,2093,urgu,n4,sack," 
",2010-05-24
2094,2094,"urɣel",n3,sorrow," 
",2010-05-24
2095,2095,"urɣizi",comp,thinking," 
",2009-06-02
2096,2096,urqizi,n3,thinking,"Dict.: ""urghizi""",2007-03-26
2097,2097,ustar,n1,"expert; master"," 
",2010-01-19
2098,2098,"ust’ar",n1,master," 
",2009-08-24
2099,2099,uti,v,"turn.back; return; turn","'turn into' with SUPER.LAT; ""tlh'iri -uti-"" = 'to insist'; can also mean ""gather"" (itr.); 'turn downward' (""w`alher -uti-"") = ~ bow one's
 head
",2014-06-25
2100,2100,"utik’",v,have.time,"Not in the Dictionary! (russ.: ""uspevat'"")",2014-05-20
2101,2101,utir,v,"turn; gather; give.back; begin; wrap","transitive; can mean 'wrap' or 'dress up' as well (cloth being the direct object, thing wrapped in POSS.ESS)
",2014-06-25
2102,2102,uti-uti,v,turn,"Not in the Dictionary!",2012-08-28
2103,2103,"ut’i",v,"collect; rip.out","can apparently also mean ""to peck up"" (see Oku.066)",2014-06-25
2104,2104,uy,v,settle.down,"Dict.: ""buya (-uyi-)""; unsure",2013-08-04
2105,2105,uy,adv,"indeed; just; gratis"," 
",2010-05-31
2106,2106,uy,adj,true,"Not in the Dictionary! (?) Or maybe see ""buy"".",2014-05-20
2107,2107,"uyƛag",adv,really,"Not in the Dictionary! (maybe ""buytlha""?)",2014-05-20
2108,2108,uyno,num,four," 
",2013-09-18
2109,2109,"uyra-łera",num,four.to.five.OBL," 
",2009-07-03
2110,2110,uysi,adj,simple,"Dict.: ""buyäsi""",2008-10-07
2111,2111,uyxor,"adj; adv","true; alright; straight","Dict.: ""-uxor""?",2014-01-23
2112,2112,"uži",n1,"boy; son"," 
",2012-08-06
2113,2113,"uži",v,bow.down," 
",2008-06-25
2114,2114,"užiłi",n4,son-ship,"Not in the Dictionary!",2009-08-02
2115,2115,"wacłi",n4,brotherhood,"Not in the Dictionary! (Arsen: ""brother-ABST""; Translation: ""bratskij"" (adj.))
",2014-06-25
2116,2116,"wacʕal",n1,male.cousin," 
",2010-01-14
2117,2117,"waħ",interj,whoa," 
",2010-06-08
2118,2118,"waħƛi",n3,laughter,"Not in the Dictionary! Might be wrong (""wahh-tlhin"" instead of ""wahhtlhi-n"")...
",2014-06-25
2119,2119,"waħo","post; adv",below,"Dict.: ""wahhhho""; + SUB.ESS",2013-08-04
2120,2120,wala,excl,nor[Arab.],"""la hhawla wala q'uwata illa billahi"" = 'there is no change and no power except by Allah'
",2014-06-25
2121,2121,wallah,excl,wallah,"like ""I swear!"" / ""Bei Gott!""",2013-08-04
2122,2122,wallahi,excl,by.God," 
",2009-07-31
2123,2123,"wˤał",adv,downward,"Dict.: ""wahhhho""(1)",2007-03-19
2124,2124,warani,n2,camel,"Class II according to dictionary?! Weird... (no indication of noun class in the text so far)
",2014-06-25
2125,2125,wasi,n3,testament," 
",2007-04-10
2126,2126,wasiyat,n3,legacy," 
",2006-11-06
2127,2127,way,interj,o.dear," 
",2007-06-13
2128,2128,wazir,n1,vizier," 
",2007-03-26
2129,2129,"wazirłi",n3,viziership," 
",2007-03-26
2130,2130,"waʕaleykum",interj,and.with.you...,"Not in the Dictionary! (part of the muslim answer greeting)",2014-06-25
2131,2131,"weeƛi",v,bleat,"Not in the Dictionary!",2009-10-01
2132,2132,weeni,n4,bleat,"Dict.: ""we3eni""",2009-10-01
2133,2133,wele,excl,look.out.IMP,"part of ""hay i wele"" ('now then'); but occurs alone as well",2014-06-25
2134,2134,were,interj,well," 
",2009-09-28
2135,2135,wey,excl,hey," 
",2007-02-26
2136,2136,wilayat,n3,province,"Not in the Dictionary!",2007-05-15
2137,2137,"wit’-wiš",interj,witwish," 
",2012-08-13
2138,2138,wizir,n1,vizier,"Not in the Dictionary! Arsen: vizir'; there is also the synonym ""wazir"" in Tsez.
",2014-06-25
2139,2139,-x,vsuf,IPFV.CVB," 
",2010-04-17
2140,2140,-x,vsuf,PRS," 
",2010-04-30
2141,2141,-x,numsuf,ADV," 
",2007-06-06
2142,2142,-x,nsuf,AD.ESS,"mostly ""on"" (way...) or ""at"" (the river bank); also ""(marry off someone) to X"" = 'X-AD.ESS ... -egir-' (send); also: ""cry for"";
 V-MSD-AD.ESS = ""in order to / so that...""
",2014-06-25
2143,2143,-xa,suf,INT,"intensifying particle/clitic, used on ""elexa"" ('here-INT')...? Arsen: ""USIL""
",2014-06-25
2144,2144,xabar,n3,story,"Could better be translated as ""talking"" or ""talk"" or ""conversation"".",2014-06-25
2145,2145,xabaryad,v,"talk; tell"," 
",2008-11-02
2146,2146,"-xaɣor",nsuf,AD.VERS," 
",2007-02-26
2147,2147,xal,n3,examination,"Not in the Dictionary!",2009-09-02
2148,2148,"xaliča",n4,mat,"Not in the Dictionary! (Arsen/translation: ""kovjor""); noun class derived from Brothers_and_sister.052.
",2014-06-25
2149,2149,"xalq’i",n3,people," 
",2009-10-26
2150,2150,Xaluma,n2,Khaluma,"personal name (female is just a guess)",2013-08-04
2151,2151,xan,n1,khan," 
",2009-08-24
2152,2152,xan,v,bite,"Not in the dictionary!",2012-08-13
2153,2153,"xanłi",n4,"khanate; khanship; throne"," 
",2012-08-06
2154,2154,Xantu,n1,Khantu,"personal name",2009-08-24
2155,2155,-xanusi,vsuf,NEG.PRS.PRT," 
",2009-06-30
2156,2156,-xanuzo,vsuf,NEG.PRS.PRT.OBL," 
",2009-07-31
2157,2157,-xar,nsuf,AD.VERS,"also marks time adverbs like ""twilight"" (mark'ach'u-xar = towards/around twilight)
",2014-06-25
